Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,213,0,2000,2713.503988695816,444.17595863342285,6078.038930892944,0.0,3.6043664460638505,0.0,2000,3800,4700,4800,5500,5600,5800,6000,6100,6100,6100
TTFT,/generate,213,0,300,344.76426285757145,240.5557632446289,721.5349674224854,0.0,3.6043664460638505,0.0,300,350,370,380,490,600,680,710,720,720,720
,Aggregated,426,0,590,1529.134125776694,240.5557632446289,6078.038930892944,0.0,7.208732892127701,0.0,590,1400,2000,2100,4800,5500,5600,5800,6100,6100,6100
