Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,112,0,1900,2574.4117689984187,456.2828540802002,5971.6222286224365,0.0,1.9021632878830075,0.0,1900,3700,3800,4300,5400,5500,5600,5800,6000,6000,6000
TTFT,/generate,112,0,320,431.64760938712527,243.5750961303711,1658.9429378509521,0.0,1.9021632878830075,0.0,320,380,450,550,660,1100,1500,1500,1700,1700,1700
,Aggregated,224,0,690,1503.029689192772,243.5750961303711,5971.6222286224365,0.0,3.804326575766015,0.0,840,1600,1900,2300,4300,5400,5500,5600,6000,6000,6000
