Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,87,0,2800,3291.733018283186,460.0389003753662,7197.495937347412,0.0,1.4771466541089007,0.0,2800,4700,5400,5500,6000,6200,6400,7200,7200,7200,7200
TTFT,/generate,87,0,370,518.9120659882994,248.61693382263184,2474.2751121520996,0.0,1.4771466541089007,0.0,370,460,630,680,860,1400,1900,2500,2500,2500,2500
,Aggregated,174,0,860,1905.3225421357429,248.61693382263184,7197.495937347412,0.0,2.9542933082178013,0.0,860,1600,2800,4600,5500,6000,6300,6400,7200,7200,7200
