Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,378,0,2200,2993.503704272881,482.5272560119629,6905.98726272583,0.0,6.383364826660839,0.0,2200,4200,5100,5200,6100,6300,6600,6700,6900,6900,6900
TTFT,/generate,378,0,350,461.8789859549709,237.04981803894043,2439.0647411346436,0.0,6.383364826660839,0.0,350,390,470,580,840,1100,1600,1600,2400,2400,2400
,Aggregated,756,0,840,1727.6913451139258,237.04981803894043,6905.98726272583,0.0,12.766729653321677,0.0,850,1600,2200,2700,5200,6100,6300,6600,6900,6900,6900
