Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,214,0,2000,2668.711194368166,424.88813400268555,6138.919115066528,0.0,3.6426316864916832,0.0,2000,3800,4700,4800,5600,5700,6000,6100,6100,6100,6100
TTFT,/generate,214,0,330,448.6313367558417,228.61194610595703,3701.5578746795654,0.0,3.6426316864916832,0.0,340,390,430,500,740,1000,1600,1900,3700,3700,3700
,Aggregated,428,0,710,1558.671265562004,228.61194610595703,6138.919115066528,0.0,7.2852633729833665,0.0,710,1500,2000,2300,4800,5600,5700,6000,6100,6100,6100
