Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,228,0,2000,2529.235003287332,450.7639408111572,5923.038005828857,0.0,3.856540985584134,0.0,2000,3700,4000,4700,4900,5600,5600,5800,5900,5900,5900
TTFT,/generate,228,0,320,350.9479070964612,242.72704124450684,860.6479167938232,0.0,3.856540985584134,0.0,320,360,380,380,480,610,780,790,860,860,860
,Aggregated,456,0,550,1440.0914551918968,242.72704124450684,5923.038005828857,0.0,7.713081971168268,0.0,560,1300,2000,2100,4700,4900,5600,5600,5900,5900,5900
