Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,25,0,1900,2298.596878051758,507.69567489624023,5676.91707611084,0.0,0.435004726314636,0.0,1900,2000,2500,4400,4600,5300,5700,5700,5700,5700,5700
TTFT,/generate,25,0,320,397.2613048553467,249.6480941772461,701.1430263519287,0.0,0.435004726314636,0.0,320,370,560,620,680,690,700,700,700,700,700
,Aggregated,50,0,680,1347.9290914535522,249.6480941772461,5676.91707611084,0.0,0.870009452629272,0.0,690,1600,1900,1900,4400,4600,5700,5700,5700,5700,5700
