Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,567,0,2200,3029.676206107703,479.75921630859375,8410.56203842163,0.0,9.584468991394038,0.0,2200,4300,4900,5400,6300,6400,6900,7200,8400,8400,8400
TTFT,/generate,567,0,340,454.32346460049746,228.6078929901123,2765.1238441467285,0.0,9.584468991394038,0.0,340,380,410,490,1000,1100,1400,1700,2800,2800,2800
,Aggregated,1134,0,950,1741.9998353541002,228.6078929901123,8410.56203842163,0.0,19.168937982788076,0.0,960,1600,2300,2600,5400,6300,6500,6900,7800,8400,8400
