Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,597,0,2000,2878.305980707932,458.53710174560547,7696.417808532715,0.0,10.124565940482565,0.0,2000,4200,4500,5300,6300,6500,6700,7100,7700,7700,7700
TTFT,/generate,597,0,320,433.94944296410335,234.7567081451416,2308.645009994507,0.0,10.124565940482565,0.0,320,380,410,500,740,1000,1500,1900,2300,2300,2300
,Aggregated,1194,0,700,1656.1277118360179,234.7567081451416,7696.417808532715,0.0,20.24913188096513,0.0,710,1500,2000,2400,5300,6300,6500,6700,7500,7700,7700
