Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,409,0,1900,2795.022591984942,454.6041488647461,6691.918849945068,0.0,6.9482383863665165,0.0,1900,4200,5100,5200,6100,6200,6300,6500,6700,6700,6700
TTFT,/generate,409,0,320,378.3082664741572,232.47313499450684,1843.9748287200928,0.0,6.9482383863665165,0.0,320,370,390,410,610,700,840,1200,1800,1800,1800
,Aggregated,818,0,610,1586.6654292295498,232.47313499450684,6691.918849945068,0.0,13.896476772733033,0.0,610,1400,1900,2200,5200,6100,6200,6300,6700,6700,6700
