Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,12,0,23000,37758.34240516027,20874.71103668213,53826.690912246704,0.0,0.22290551397793026,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
TTFT,/generate,12,0,1900,1865.4955228169758,1526.2210369110107,1954.7879695892334,0.0,0.22290551397793026,0.0,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000
,Aggregated,24,0,2000,19811.91896398862,1526.2210369110107,53826.690912246704,0.0,0.44581102795586053,0.0,21000,22000,54000,54000,54000,54000,54000,54000,54000,54000,54000
