Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,16,0,31000,33608.958035707474,12263.651847839355,55694.39125061035,0.0,0.2866063465191824,0.0,31000,44000,44000,44000,56000,56000,56000,56000,56000,56000,56000
TTFT,/generate,16,0,1586.9498252868652,1422.5115776062012,916.8260097503662,1586.9498252868652,0.0,0.2866063465191824,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
,Aggregated,32,0,1600,17515.734806656837,916.8260097503662,55694.39125061035,0.0,0.5732126930383648,0.0,12000,29000,31000,31000,44000,56000,56000,56000,56000,56000,56000
