Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,19,0,8800,12621.37518431011,1504.1437149047852,26765.232801437378,0.0,0.33463096204900006,0.0,8800,18000,22000,22000,23000,27000,27000,27000,27000,27000,27000
TTFT,/generate,19,0,280,304.46661146063553,232.4352264404297,408.3821773529053,0.0,0.33463096204900006,0.0,280,310,380,390,400,410,410,410,410,410,410
,Aggregated,38,0,410,6462.920897885373,232.4352264404297,26765.232801437378,0.0,0.6692619240980001,0.0,1500,7300,8800,18000,22000,23000,27000,27000,27000,27000,27000
