Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,21,0,15000,20158.766110738117,7025.315046310425,54490.386962890625,0.0,0.35791147181235144,0.0,15000,18000,19000,36000,46000,54000,54000,54000,54000,54000,54000
TTFT,/generate,21,0,490,712.9779656728109,305.584192276001,1135.7238292694092,0.0,0.35791147181235144,0.0,490,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,42,0,1100,10435.872038205465,305.584192276001,54490.386962890625,0.0,0.7158229436247029,0.0,7000,8000,15000,18000,36000,46000,54000,54000,54000,54000,54000
