Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,26,0,1600,2180.7244465901304,418.7040328979492,5634.164094924927,0.0,0.45851899436956495,0.0,2000,2000,3800,3800,5600,5600,5600,5600,5600,5600,5600
TTFT,/generate,26,0,170,185.5211166235117,152.91595458984375,429.25286293029785,0.0,0.45851899436956495,0.0,170,180,180,190,240,250,430,430,430,430,430
,Aggregated,52,0,420,1183.1227816068208,152.91595458984375,5634.164094924927,0.0,0.9170379887391299,0.0,420,900,2000,2000,3800,5600,5600,5600,5600,5600,5600
