Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,8,0,38000,33661.76602244377,18435.439825057983,44334.81192588806,0.0,0.18040934576124845,0.0,43000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
TTFT,/generate,8,0,1600,1592.205435037613,1533.5869789123535,1641.0722732543945,0.0,0.18040934576124845,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
,Aggregated,16,0,1600,17626.985728740692,1533.5869789123535,44334.81192588806,0.0,0.3608186915224969,0.0,18000,19000,43000,43000,44000,44000,44000,44000,44000,44000,44000
