Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,18,0,16000,17756.53654999203,3304.92901802063,42614.56489562988,0.0,0.314533437450859,0.0,18000,19000,24000,24000,24000,43000,43000,43000,43000,43000,43000
TTFT,/generate,18,0,410,1262.5277307298447,331.82692527770996,2410.194158554077,0.0,0.314533437450859,0.0,1200,2100,2400,2400,2400,2400,2400,2400,2400,2400,2400
,Aggregated,36,0,2400,9509.532140360938,331.82692527770996,42614.56489562988,0.0,0.629066874901718,0.0,3300,14000,18000,19000,24000,24000,43000,43000,43000,43000,43000
