Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,21,0,36000,31945.0425306956,8666.728973388672,56865.77582359314,0.0,0.3667766848956411,0.0,36000,36000,36000,46000,57000,57000,57000,57000,57000,57000,57000
TTFT,/generate,21,0,1200,1066.6528996967133,680.354118347168,1273.8018035888672,0.0,0.3667766848956411,0.0,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300
,Aggregated,42,0,1300,16505.847715196156,680.354118347168,56865.77582359314,0.0,0.7335533697912822,0.0,8700,22000,36000,36000,46000,57000,57000,57000,57000,57000,57000
