Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,656,0,2000,2618.7518547947816,450.5598545074463,6467.054843902588,0.0,11.081630282812563,0.0,2000,3800,4500,4700,5600,5700,5700,5800,6500,6500,6500
TTFT,/generate,656,0,240,308.3880205706852,176.65505409240723,1296.9920635223389,0.0,11.081630282812563,0.0,250,300,320,340,420,930,1100,1100,1300,1300,1300
,Aggregated,1312,0,560,1463.5699376827333,176.65505409240723,6467.054843902588,0.0,22.163260565625126,0.0,560,1300,2000,2100,4700,5600,5700,5700,6200,6500,6500
