Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,123,0,1600,2335.7283739539666,416.5058135986328,5378.1492710113525,0.0,2.088146325712783,0.0,1600,2300,4200,4200,5000,5100,5400,5400,5400,5400,5400
TTFT,/generate,123,0,220,286.09891247943165,175.9469509124756,691.3332939147949,0.0,2.088146325712783,0.0,220,300,320,340,510,570,690,690,690,690,690
,Aggregated,246,0,550,1310.913643216699,175.9469509124756,5378.1492710113525,0.0,4.176292651425566,0.0,550,1200,1600,1800,4200,5000,5200,5400,5400,5400,5400
