Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,122,0,1600,2361.375617199257,408.54597091674805,5362.994909286499,0.0,2.0712225516257714,0.0,1600,2100,4200,4400,5000,5100,5300,5300,5400,5400,5400
TTFT,/generate,122,0,210,289.8356445500108,176.76210403442383,681.1342239379883,0.0,2.0712225516257714,0.0,220,310,330,400,520,540,670,670,680,680,680
,Aggregated,244,0,530,1325.6056308746338,176.76210403442383,5362.994909286499,0.0,4.142445103251543,0.0,540,1200,1600,1800,4400,5000,5200,5300,5400,5400,5400
