Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,448,0,1900,2549.9918875949725,441.85590744018555,6168.095350265503,0.0,7.587739414346288,0.0,1900,3700,4000,4600,5500,5600,5700,5800,6200,6200,6200
TTFT,/generate,448,0,220,283.83142075368335,176.5587329864502,958.8468074798584,0.0,7.587739414346288,0.0,220,260,300,320,410,610,950,960,960,960,960
,Aggregated,896,0,520,1416.9116541743279,176.5587329864502,6168.095350265503,0.0,15.175478828692576,0.0,530,1300,1900,2100,4600,5500,5600,5700,6200,6200,6200
