Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,453,0,1900,2511.567799460809,429.1656017303467,6454.118967056274,0.0,7.671310525719388,0.0,1900,3700,3900,4600,5400,5500,5600,5700,6500,6500,6500
TTFT,/generate,453,0,230,288.20960674327995,181.3521385192871,1261.7242336273193,0.0,7.671310525719388,0.0,230,300,320,330,430,580,800,800,1300,1300,1300
,Aggregated,906,0,560,1399.8887031020445,181.3521385192871,6454.118967056274,0.0,15.342621051438776,0.0,560,1300,1900,2000,4600,5400,5500,5600,6500,6500,6500
