Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,129,0,1600,2228.7871782169786,435.33802032470703,5369.257926940918,0.0,2.202894361782349,0.0,1600,3400,3500,4200,4300,5100,5300,5300,5400,5400,5400
TTFT,/generate,129,0,250,302.69644796386245,183.29906463623047,789.8311614990234,0.0,2.202894361782349,0.0,250,300,330,360,510,550,790,790,790,790,790
,Aggregated,258,0,510,1265.7418130904205,183.29906463623047,5369.257926940918,0.0,4.405788723564698,0.0,520,1100,1600,1900,4200,4300,5100,5300,5400,5400,5400
