Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,238,0,1700,2407.0131658505993,427.02603340148926,5557.139873504639,0.0,4.031431849600786,0.0,1800,3400,4200,4300,5100,5200,5300,5400,5600,5600,5600
TTFT,/generate,238,0,220,271.3043649657434,172.17111587524414,709.143877029419,0.0,4.031431849600786,0.0,220,270,310,320,420,540,660,700,710,710,710
,Aggregated,476,0,540,1339.1587654081713,172.17111587524414,5557.139873504639,0.0,8.062863699201571,0.0,540,1200,1800,1900,4300,5100,5200,5300,5600,5600,5600
