Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,24,0,1800,2387.131690979004,388.2789611816406,5310.791015625,0.0,0.4188638987937452,0.0,1800,3300,3700,3900,4900,5200,5300,5300,5300,5300,5300
TTFT,/generate,24,0,210,322.32897480328876,155.5490493774414,742.1150207519531,0.0,0.4188638987937452,0.0,220,270,510,530,620,720,740,740,740,740,740
,Aggregated,48,0,610,1354.7303328911464,155.5490493774414,5310.791015625,0.0,0.8377277975874904,0.0,620,1600,1800,2000,3900,4900,5300,5300,5300,5300,5300
