Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TOTAL,/generate,249,0,1600,2330.308506287724,404.94680404663086,5393.525838851929,0.0,4.210427858849488,0.0,1600,2300,4200,4300,5100,5100,5300,5300,5400,5400,5400
TTFT,/generate,249,0,240,281.00729658900497,174.02172088623047,672.4040508270264,0.0,4.210427858849488,0.0,240,300,320,340,440,530,670,670,670,670,670
,Aggregated,498,0,540,1305.6579014383644,174.02172088623047,5393.525838851929,0.0,8.420855717698975,0.0,540,1200,1600,1800,4300,5100,5200,5300,5400,5400,5400
